Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B92 B92 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B1A B1A V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B100 B100 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-02-24T23:40:00+11:00 Sydney,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6kW,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2016-02-24T23:45:00+11:00 Sydney,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0kW,"","","","","","","","","","","","","","","","","","",""
2016-02-24T23:55:00+11:00 Sydney,117kW,20kW,23kW,"","",122kW,130kW,8kW,7kW,0kW,0kW,21kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,17kW,98kW,0kW,41kW,26kW,0kW,43kW,5kW,0kW,0kW,1kW,0kW,18kW,1kW,5kW,5kW,1kW,42kW,18kW,20kW,53kW,115kW,30kW,0kW,51kW,0kW,0kW,2kW,78kW,4kW,35kW,1785.1835021972656kW,0kW,75kW,0kW,0kW,38kW,"",0kW,0kW,2kW,31kW,47kW,58kW,1kW,1kW,89kW,88kW,0.9106355905532837kW,0kW,2kW,0kW,31kW,1kW,"",19kW,0kW,"",1kW,78kW,11kW,0kW,11kW,308kW,"",13kW,109kW,36kW,5kW,369kW,7kW,"",1kW,3kW,2kW,1kW,55kW,8kW,0kW,5kW,99kW,0kW,64kW,0kW,421kW,42kW,25kW,42kW,24kW,0kW,3kW,0kW,18kW,45kW,4kW,"",0kW,"","",358.6773109436035kW,3kW,1kW,1kW,264kW,4kW,17kW,24kW,8kW,55kW,133kW,0kW,6kW,35kW,3kW,8581.771448731422kW,9473.156494140625kW,143kW,14kW,"",1kW,0kW,5kW,763kW,7kW,"",1kW,19kW,9kW,101kW,3kW,352kW,0kW,69kW,0kW
2016-02-25T00:00:00+11:00 Sydney,117kW,21kW,25kW,"","",123kW,130kW,8kW,7kW,0kW,0kW,20kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,17kW,101kW,0kW,41kW,26kW,0kW,43kW,5kW,0kW,0kW,1kW,0kW,17kW,1kW,9kW,9kW,1kW,42kW,17kW,20kW,53kW,120kW,30kW,0kW,51kW,0kW,0kW,2kW,78kW,4kW,35kW,1785.1835021972656kW,0kW,75kW,0kW,0kW,38kW,"",0kW,0kW,2kW,31kW,51kW,57kW,1kW,3kW,89kW,88kW,0.9106355905532837kW,0kW,1kW,0kW,31kW,0kW,"",22kW,0kW,"",1kW,79kW,11kW,0kW,9kW,308kW,"",12kW,114kW,34kW,4kW,363kW,7kW,"",1kW,3kW,2kW,1kW,55kW,8kW,0kW,4kW,99kW,0kW,64kW,0kW,429kW,42kW,25kW,59kW,24kW,0kW,3kW,0kW,20kW,79kW,4kW,"",0kW,"","",358.6773109436035kW,3kW,1kW,1kW,264kW,4kW,17kW,24kW,9kW,55kW,129kW,0kW,12kW,39kW,4kW,8534.771448731422kW,9496.931213378906kW,124kW,12kW,"",1kW,0kW,5kW,656kW,7kW,"",1kW,19kW,8kW,101kW,3kW,342kW,0kW,69kW,0kW
2016-02-25T00:05:00+11:00 Sydney,108kW,21kW,25kW,"","",123kW,124kW,7kW,7kW,0kW,0kW,20kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,17kW,101kW,0kW,37kW,26kW,0kW,49kW,8kW,0kW,0kW,1kW,0kW,17kW,1kW,9kW,9kW,1kW,42kW,17kW,17kW,53kW,120kW,30kW,0kW,41kW,0kW,0kW,2kW,60kW,4kW,35kW,1790.9096069335938kW,0kW,123kW,0kW,0kW,34kW,5kW,0kW,0kW,2kW,31kW,51kW,53kW,1kW,3kW,89kW,88kW,0.9105513095855713kW,0kW,1kW,0kW,33kW,0kW,"",22kW,0kW,"",1kW,79kW,11kW,0kW,9kW,360kW,"",12kW,114kW,34kW,4kW,359kW,9kW,"",1kW,3kW,0kW,1kW,55kW,8kW,0kW,4kW,46kW,0kW,64kW,0kW,429kW,42kW,26kW,59kW,20kW,0kW,3kW,0kW,20kW,79kW,4kW,"",0kW,"","",349.2082862854004kW,3kW,1kW,1kW,278kW,5kW,16kW,24kW,9kW,32kW,129kW,0kW,12kW,39kW,4kW,8456.02844452858kW,9330.851257324219kW,124kW,12kW,"",1kW,0kW,5kW,656kW,7kW,"",1kW,18kW,8kW,87kW,3kW,327kW,0kW,67kW,0kW
2016-02-25T00:10:00+11:00 Sydney,104kW,21kW,25kW,"","",123kW,124kW,7kW,7kW,0kW,0kW,21kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,17kW,101kW,0kW,37kW,26kW,0kW,49kW,8kW,0kW,0kW,1kW,0kW,17kW,1kW,9kW,9kW,1kW,42kW,17kW,17kW,46kW,120kW,30kW,0kW,41kW,0kW,0kW,2kW,60kW,4kW,35kW,1790.9096069335938kW,0kW,123kW,0kW,0kW,34kW,5kW,0kW,0kW,1kW,36kW,51kW,53kW,1kW,3kW,85kW,88kW,0.9105513095855713kW,0kW,1kW,0kW,33kW,0kW,"",22kW,0kW,"",1kW,79kW,11kW,0kW,9kW,359kW,"",12kW,114kW,34kW,4kW,359kW,9kW,"",1kW,3kW,0kW,1kW,56kW,8kW,0kW,4kW,46kW,0kW,64kW,0kW,424kW,44kW,26kW,46kW,20kW,0kW,3kW,0kW,20kW,42kW,4kW,"",0kW,"","",349.5556869506836kW,3kW,1kW,1kW,278kW,5kW,16kW,23kW,8kW,32kW,129kW,0kW,12kW,39kW,4kW,8399.375845193863kW,9438.431518554688kW,124kW,12kW,"",1kW,0kW,5kW,641kW,6kW,"",1kW,18kW,8kW,87kW,3kW,327kW,0kW,67kW,0kW
2016-02-25T00:15:00+11:00 Sydney,104kW,20kW,23kW,"","",123kW,126kW,7kW,7kW,0kW,0kW,21kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,17kW,101kW,0kW,37kW,27kW,0kW,52kW,8kW,0kW,0kW,7kW,0kW,17kW,1kW,5kW,5kW,1kW,41kW,17kW,18kW,46kW,110kW,23kW,0kW,41kW,0kW,0kW,2kW,60kW,4kW,32kW,1790.9096069335938kW,0kW,44kW,0kW,0kW,32kW,4kW,0kW,0kW,1kW,36kW,47kW,54kW,2kW,1kW,85kW,82kW,0.9105513095855713kW,0kW,2kW,0kW,38kW,0kW,"",22kW,0kW,"",1kW,82kW,10kW,0kW,12kW,328kW,"",12kW,104kW,35kW,4kW,384kW,9kW,"",1kW,3kW,1kW,1kW,56kW,7kW,0kW,5kW,46kW,0kW,64kW,0kW,411kW,44kW,26kW,46kW,20kW,0kW,3kW,0kW,18kW,42kW,4kW,"",0kW,"","",360.5556869506836kW,3kW,3kW,1kW,265kW,5kW,16kW,23kW,8kW,32kW,132kW,0kW,6kW,34kW,4kW,8352.375845193863kW,9341.625244140625kW,121kW,14kW,"",1kW,0kW,5kW,713kW,6kW,"",1kW,18kW,12kW,94kW,3kW,332kW,0kW,67kW,0kW
2016-02-25T00:20:00+11:00 Sydney,103kW,20kW,23kW,"","",123kW,126kW,7kW,7kW,0kW,0kW,21kW,1kW,1kW,"",6kW,0kW,"",1kW,2kW,1kW,17kW,101kW,0kW,45kW,27kW,0kW,52kW,8kW,0kW,0kW,7kW,0kW,17kW,1kW,5kW,5kW,1kW,41kW,17kW,18kW,47kW,110kW,23kW,0kW,42kW,0kW,0kW,2kW,61kW,4kW,32kW,1830.2554016113281kW,0kW,44kW,0kW,0kW,32kW,4kW,0kW,0kW,2kW,32kW,47kW,56kW,2kW,1kW,91kW,82kW,0.9116708636283875kW,0kW,2kW,0kW,38kW,0kW,"",22kW,0kW,"",1kW,82kW,10kW,0kW,12kW,330kW,"",12kW,104kW,35kW,4kW,383kW,7kW,"",1kW,3kW,1kW,1kW,55kW,7kW,0kW,5kW,41kW,0kW,64kW,0kW,411kW,44kW,26kW,46kW,20kW,0kW,3kW,0kW,18kW,42kW,4kW,"",0kW,"","",359.42211151123047kW,3kW,3kW,1kW,265kW,5kW,22kW,23kW,8kW,33kW,132kW,0kW,6kW,34kW,4kW,8407.589183986187kW,9443.911499023438kW,121kW,14kW,"",1kW,0kW,5kW,713kW,6kW,"",1kW,18kW,12kW,94kW,3kW,334kW,0kW,64kW,0kW
2016-02-25T00:25:00+11:00 Sydney,103kW,20kW,23kW,"","",123kW,126kW,7kW,7kW,0kW,0kW,24kW,1kW,1kW,"",6kW,0kW,"",1kW,2kW,1kW,17kW,101kW,0kW,45kW,27kW,0kW,52kW,8kW,0kW,0kW,7kW,0kW,17kW,1kW,5kW,5kW,1kW,41kW,17kW,18kW,47kW,110kW,23kW,0kW,42kW,0kW,0kW,2kW,61kW,4kW,32kW,1830.2554016113281kW,0kW,44kW,0kW,0kW,32kW,4kW,0kW,0kW,2kW,32kW,47kW,56kW,2kW,1kW,91kW,82kW,0.9116708636283875kW,0kW,2kW,0kW,38kW,0kW,"",22kW,0kW,"",1kW,82kW,10kW,0kW,12kW,330kW,"",12kW,104kW,32kW,4kW,383kW,7kW,"",1kW,3kW,1kW,1kW,55kW,7kW,0kW,5kW,41kW,0kW,69kW,0kW,416kW,44kW,26kW,57kW,20kW,0kW,3kW,0kW,18kW,41kW,4kW,"",0kW,"","",359.42211151123047kW,3kW,3kW,1kW,265kW,5kW,22kW,22kW,8kW,33kW,129kW,0kW,6kW,34kW,4kW,8355.589183986187kW,9304.359558105469kW,121kW,14kW,"",1kW,0kW,5kW,658kW,7kW,"",1kW,18kW,12kW,94kW,3kW,323kW,0kW,64kW,0kW
2016-02-25T00:30:00+11:00 Sydney,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9166.849914550781kW,"","","","","","","","","","","","","","","","","",""
