Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B92 B92 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B1A B1A V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B100 B100 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-07-14T03:20:00+10:00 Sydney,175kW,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",175kW,"","","","","","","","","","","","","","","","","","",""
2016-07-19T23:55:00+10:00 Sydney,183.6567314746882kW,38kW,32kW,"","",123kW,132kW,21kW,5kW,20kW,1kW,161kW,1kW,1kW,"",3kW,0kW,"",2kW,2kW,1kW,18kW,103kW,1kW,40kW,18kW,0kW,37kW,4kW,0kW,8kW,0kW,0kW,26kW,0kW,5kW,5kW,1kW,53kW,19kW,19kW,158kW,191kW,24kW,1kW,125kW,0kW,0kW,3kW,83kW,25kW,41kW,1707.1972961425781kW,3kW,33kW,84kW,0kW,41kW,5kW,5kW,32kW,1kW,31kW,44kW,44kW,8kW,13kW,99kW,92kW,0.8152009844779968kW,1kW,4kW,0kW,30kW,7kW,"",60kW,160kW,"",3kW,119kW,15kW,0kW,12kW,212kW,24kW,16kW,97kW,31kW,2kW,513kW,6kW,"",4kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,42kW,0kW,49kW,0kW,368kW,39kW,24kW,0kW,19kW,0kW,0kW,147kW,20kW,42kW,1kW,"",44kW,"","",205.97130584716797kW,2kW,1kW,0kW,284kW,1kW,18kW,53kW,12kW,56kW,136kW,0kW,3kW,35kW,3kW,9099.640534448912kW,0kW,147kW,28kW,"",1kW,5kW,3kW,627kW,11kW,"",0kW,19kW,11kW,119kW,4kW,334kW,1kW,66kW,4kW
2016-07-20T00:00:00+10:00 Sydney,183.65297138664712kW,38kW,28kW,"","",126kW,133kW,21kW,5kW,17kW,1kW,161kW,1kW,2kW,"",4kW,0kW,"",3kW,2kW,1kW,18kW,103kW,1kW,40kW,23kW,0kW,40kW,4kW,0kW,8kW,0kW,0kW,24kW,0kW,5kW,5kW,1kW,53kW,19kW,14kW,158kW,178kW,24kW,1kW,125kW,0kW,0kW,3kW,83kW,25kW,41kW,1707.1972961425781kW,3kW,34kW,84kW,0kW,41kW,6kW,6kW,33kW,1kW,31kW,41kW,44kW,9kW,2kW,99kW,93kW,0.8152009844779968kW,2kW,1kW,0kW,32kW,5kW,"",60kW,149kW,"",3kW,119kW,11kW,0kW,8kW,212kW,24kW,16kW,101kW,31kW,1kW,478kW,6kW,"",4kW,1kW,0kW,1kW,0kW,24kW,0kW,4kW,41kW,0kW,49kW,0kW,359kW,39kW,23kW,0kW,19kW,0kW,0kW,146kW,20kW,42kW,1kW,"",44kW,"","",204.97130584716797kW,1kW,1kW,0kW,311kW,1kW,18kW,53kW,11kW,51kW,136kW,0kW,3kW,31kW,3kW,9061.636774360872kW,0kW,147kW,10kW,"",1kW,4kW,3kW,627kW,11kW,"",0kW,19kW,10kW,136kW,4kW,338kW,0kW,69kW,5kW
2016-07-20T00:05:00+10:00 Sydney,183.64921129860605kW,46kW,28kW,"","",126kW,133kW,21kW,5kW,17kW,1kW,161kW,1kW,2kW,"",4kW,0kW,"",3kW,2kW,1kW,18kW,91kW,1kW,34kW,23kW,0kW,40kW,4kW,0kW,8kW,0kW,0kW,24kW,0kW,5kW,5kW,1kW,51kW,19kW,14kW,151kW,178kW,27kW,1kW,134kW,0kW,0kW,3kW,59kW,24kW,41kW,1707.1972961425781kW,3kW,34kW,84kW,0kW,20kW,6kW,6kW,33kW,1kW,35kW,41kW,44kW,9kW,2kW,99kW,93kW,0.8152009844779968kW,2kW,1kW,0kW,32kW,5kW,"",60kW,149kW,"",3kW,114kW,11kW,0kW,8kW,209kW,27kW,16kW,101kW,39kW,1kW,478kW,6kW,"",4kW,1kW,0kW,1kW,0kW,24kW,0kW,4kW,41kW,0kW,49kW,0kW,350kW,39kW,23kW,0kW,19kW,0kW,0kW,146kW,20kW,41kW,1kW,"",48kW,"","",204.56529998779297kW,1kW,1kW,0kW,311kW,1kW,13kW,53kW,11kW,51kW,126kW,0kW,3kW,31kW,3kW,8963.227008413454kW,0kW,137kW,10kW,"",1kW,4kW,3kW,615kW,11kW,"",0kW,19kW,10kW,136kW,3kW,335kW,0kW,69kW,5kW
2016-07-20T00:10:00+10:00 Sydney,182.64545121056497kW,46kW,28kW,"","",125kW,133kW,12kW,9kW,17kW,1kW,150kW,1kW,2kW,"",4kW,0kW,"",3kW,2kW,1kW,18kW,91kW,1kW,34kW,23kW,0kW,40kW,4kW,0kW,8kW,0kW,0kW,18kW,0kW,5kW,5kW,1kW,51kW,19kW,14kW,151kW,178kW,27kW,1kW,134kW,0kW,0kW,3kW,59kW,24kW,41kW,1715.5005950927734kW,3kW,36kW,98kW,0kW,20kW,6kW,6kW,31kW,1kW,35kW,42kW,42kW,9kW,2kW,101kW,92kW,0.8153234720230103kW,2kW,1kW,0kW,32kW,5kW,"",55kW,149kW,"",3kW,114kW,11kW,0kW,8kW,209kW,27kW,16kW,96kW,39kW,1kW,478kW,6kW,"",4kW,1kW,0kW,1kW,0kW,24kW,0kW,4kW,41kW,0kW,49kW,0kW,349kW,43kW,29kW,0kW,20kW,0kW,0kW,140kW,16kW,41kW,3kW,"",48kW,"","",206.67880249023438kW,1kW,1kW,0kW,311kW,1kW,13kW,53kW,11kW,51kW,122kW,0kW,3kW,35kW,3kW,8944.640172265596kW,0kW,132kW,9kW,"",1kW,4kW,3kW,615kW,7kW,"",0kW,19kW,10kW,136kW,3kW,335kW,0kW,69kW,4kW
2016-07-20T00:15:00+10:00 Sydney,182.6416911225239kW,46kW,28kW,"","",125kW,135kW,12kW,9kW,16kW,1kW,150kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,91kW,1kW,34kW,16kW,0kW,45kW,4kW,0kW,8kW,0kW,0kW,18kW,0kW,9kW,9kW,1kW,52kW,18kW,13kW,151kW,170kW,27kW,1kW,126kW,0kW,0kW,3kW,61kW,25kW,37kW,1715.5005950927734kW,3kW,36kW,98kW,0kW,20kW,5kW,5kW,31kW,1kW,35kW,42kW,42kW,7kW,2kW,101kW,92kW,0.8153234720230103kW,2kW,0kW,0kW,31kW,9kW,"",55kW,141kW,"",3kW,114kW,11kW,0kW,12kW,206kW,27kW,16kW,96kW,39kW,3kW,480kW,7kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,4kW,44kW,0kW,49kW,0kW,365kW,43kW,29kW,0kW,20kW,0kW,1kW,140kW,16kW,41kW,3kW,"",48kW,"","",210.67880249023438kW,1kW,1kW,0kW,316kW,1kW,13kW,53kW,11kW,49kW,122kW,0kW,3kW,35kW,3kW,9022.636412177555kW,0kW,132kW,9kW,"",1kW,9kW,3kW,615kW,7kW,"",0kW,19kW,10kW,117kW,5kW,321kW,0kW,63kW,4kW
2016-07-20T00:20:00+10:00 Sydney,182.63793103448282kW,40kW,28kW,"","",125kW,135kW,12kW,9kW,16kW,1kW,150kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,81kW,1kW,36kW,16kW,0kW,45kW,4kW,0kW,8kW,0kW,0kW,18kW,0kW,9kW,9kW,1kW,52kW,18kW,13kW,147kW,170kW,26kW,1kW,126kW,0kW,0kW,3kW,61kW,25kW,37kW,1713.2375946044922kW,3kW,36kW,87kW,0kW,20kW,5kW,5kW,31kW,1kW,34kW,42kW,42kW,7kW,2kW,89kW,92kW,0.8153234720230103kW,2kW,0kW,0kW,31kW,9kW,"",55kW,141kW,"",3kW,107kW,11kW,0kW,12kW,206kW,26kW,15kW,96kW,32kW,3kW,480kW,7kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,4kW,44kW,0kW,49kW,0kW,377kW,43kW,29kW,0kW,20kW,0kW,1kW,140kW,16kW,40kW,3kW,"",46kW,"","",213.6529998779297kW,1kW,1kW,0kW,316kW,1kW,13kW,53kW,11kW,49kW,123kW,0kW,3kW,35kW,3kW,8998.343848988927kW,0kW,127kW,9kW,"",1kW,9kW,3kW,632kW,7kW,"",0kW,19kW,10kW,117kW,5kW,332kW,0kW,63kW,4kW
2016-07-20T00:25:00+10:00 Sydney,182.63417094644174kW,40kW,28kW,"","",124kW,133kW,19kW,6kW,16kW,1kW,147kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,81kW,1kW,36kW,24kW,0kW,37kW,4kW,0kW,7kW,0kW,0kW,24kW,0kW,9kW,9kW,1kW,52kW,19kW,16kW,147kW,169kW,26kW,1kW,126kW,0kW,0kW,2kW,61kW,25kW,37kW,1713.2375946044922kW,3kW,35kW,87kW,0kW,20kW,5kW,5kW,31kW,1kW,34kW,43kW,44kW,8kW,2kW,90kW,101kW,0.8175682425498962kW,2kW,1kW,0kW,29kW,9kW,"",60kW,147kW,"",3kW,107kW,11kW,0kW,9kW,206kW,26kW,15kW,97kW,32kW,2kW,483kW,4kW,"",4kW,1kW,4kW,1kW,0kW,22kW,0kW,4kW,44kW,0kW,49kW,0kW,384kW,42kW,21kW,0kW,19kW,0kW,0kW,144kW,16kW,40kW,2kW,"",46kW,"","",211.20909881591797kW,1kW,2kW,0kW,275kW,1kW,13kW,51kW,11kW,49kW,123kW,0kW,4kW,31kW,3kW,8957.898432609401kW,0kW,128kW,14kW,"",1kW,2kW,3kW,632kW,7kW,"",0kW,19kW,11kW,116kW,5kW,332kW,0kW,63kW,4kW
2016-07-20T00:30:00+10:00 Sydney,182.63041085840067kW,39kW,28kW,"","",124kW,133kW,19kW,6kW,15kW,1kW,147kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,78kW,1kW,38kW,24kW,0kW,37kW,4kW,0kW,7kW,0kW,0kW,24kW,0kW,10kW,10kW,1kW,52kW,19kW,16kW,140kW,169kW,33kW,1kW,123kW,0kW,0kW,2kW,57kW,38kW,23kW,1713.2375946044922kW,3kW,35kW,87kW,0kW,20kW,5kW,5kW,31kW,1kW,34kW,43kW,44kW,8kW,2kW,90kW,101kW,0.8175682425498962kW,2kW,1kW,0kW,29kW,9kW,"",60kW,147kW,"",3kW,113kW,12kW,0kW,9kW,209kW,33kW,15kW,97kW,32kW,2kW,483kW,4kW,"",4kW,1kW,4kW,1kW,0kW,22kW,0kW,4kW,40kW,0kW,41kW,0kW,382kW,42kW,21kW,0kW,19kW,0kW,0kW,144kW,16kW,40kW,2kW,"",45kW,"","",206.76659393310547kW,1kW,2kW,0kW,275kW,1kW,13kW,51kW,11kW,49kW,121kW,0kW,4kW,31kW,3kW,8941.452167638548kW,0kW,128kW,14kW,"",0kW,2kW,3kW,631kW,7kW,"",0kW,19kW,11kW,116kW,3kW,331kW,0kW,63kW,4kW
2016-07-20T00:35:00+10:00 Sydney,183.6266507703596kW,39kW,28kW,"","",124kW,133kW,17kW,6kW,15kW,1kW,152kW,1kW,1kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,78kW,1kW,38kW,24kW,0kW,37kW,4kW,0kW,7kW,0kW,0kW,24kW,0kW,10kW,10kW,1kW,52kW,19kW,16kW,140kW,169kW,33kW,1kW,123kW,0kW,0kW,2kW,57kW,38kW,23kW,1722.3412017822266kW,3kW,35kW,92kW,0kW,20kW,5kW,5kW,31kW,1kW,34kW,43kW,44kW,8kW,2kW,86kW,101kW,0.8129935264587402kW,2kW,1kW,0kW,29kW,9kW,"",60kW,147kW,"",3kW,113kW,12kW,0kW,9kW,209kW,33kW,16kW,97kW,32kW,2kW,483kW,4kW,"",4kW,1kW,4kW,1kW,0kW,22kW,0kW,4kW,40kW,0kW,41kW,0kW,383kW,43kW,21kW,0kW,19kW,0kW,0kW,144kW,17kW,39kW,2kW,"",45kW,"","",202.6393928527832kW,1kW,2kW,0kW,275kW,1kW,17kW,51kW,11kW,49kW,126kW,0kW,4kW,31kW,3kW,8961.420238931827kW,0kW,126kW,14kW,"",0kW,2kW,3kW,631kW,7kW,"",0kW,19kW,11kW,116kW,3kW,331kW,0kW,63kW,4kW
