Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B100 B100 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-09-01T00:00:00+10:00 Sydney,122kW,24kW,34kW,,159kW,146kW,18kW,9kW,19kW,2kW,219kW,4kW,2kW,,3kW,0kW,276kW,6kW,2kW,1kW,18kW,90kW,1kW,19kW,34kW,,40kW,4kW,0kW,,,,18kW,0kW,11kW,11kW,2kW,40kW,,22kW,178kW,186kW,28kW,0kW,173kW,0kW,,2kW,79kW,25kW,71kW,2073.243896484375kW,,34kW,114kW,0kW,47kW,7kW,10kW,36kW,2kW,51kW,30kW,33kW,11kW,11kW,95kW,118kW,1.6401927471160889kW,3kW,1kW,0kW,82kW,,,18kW,133kW,4kW,122kW,15kW,0kW,,162kW,28kW,14kW,90kW,40kW,,258kW,9kW,,1kW,1kW,0kW,1kW,0kW,23kW,1kW,7kW,54kW,0kW,,0kW,409kW,68kW,27kW,0kW,25kW,0kW,,144kW,20kW,,3kW,,47kW,388kW,,220.2406997680664kW,1kW,,0kW,362kW,6kW,14kW,59kW,11kW,62kW,121kW,0kW,,31kW,3kW,8481.953426539898kW,0kW,117kW,14kW,,3kW,4kW,9kW,711kW,,,0kW,19kW,18kW,119kW,7kW,167kW,0kW,73kW,5kW
2016-09-01T01:00:00+10:00 Sydney,128kW,21kW,37kW,,167kW,137kW,17kW,9kW,19kW,6kW,200kW,4kW,2kW,,5kW,0kW,270kW,8kW,2kW,1kW,18kW,94kW,1kW,18kW,34kW,,37kW,4kW,0kW,,,,18kW,0kW,11kW,11kW,2kW,43kW,,19kW,182kW,200kW,27kW,0kW,172kW,0kW,,6kW,74kW,25kW,65kW,2051.1712951660156kW,,34kW,104kW,0kW,16kW,5kW,7kW,35kW,1kW,41kW,28kW,33kW,11kW,15kW,93kW,116kW,1.640631079673767kW,2kW,1kW,0kW,84kW,,,22kW,140kW,7kW,112kW,16kW,0kW,,161kW,27kW,12kW,93kW,33kW,,258kW,12kW,,2kW,1kW,0kW,1kW,0kW,22kW,1kW,7kW,54kW,0kW,,0kW,384kW,64kW,25kW,0kW,27kW,0kW,,145kW,23kW,,4kW,,43kW,377kW,,218.71170043945312kW,1kW,,0kW,368kW,7kW,18kW,56kW,10kW,43kW,122kW,0kW,,31kW,3kW,8360.885741949081kW,0kW,110kW,10kW,,1kW,4kW,4kW,693kW,,,0kW,19kW,18kW,115kW,8kW,159kW,0kW,74kW,5kW
2016-09-01T02:00:00+10:00 Sydney,127kW,20kW,33kW,,167kW,144kW,17kW,6kW,24kW,3kW,198kW,7kW,2kW,,4kW,0kW,273kW,8kW,6kW,1kW,18kW,96kW,1kW,18kW,34kW,,50kW,4kW,0kW,,,,17kW,0kW,8kW,8kW,1kW,40kW,,19kW,175kW,169kW,28kW,0kW,175kW,0kW,,2kW,79kW,25kW,72kW,2040.4739990234375kW,,34kW,104kW,0kW,20kW,6kW,7kW,36kW,1kW,41kW,34kW,38kW,10kW,15kW,96kW,120kW,1.6424477100372314kW,4kW,1kW,0kW,84kW,,,22kW,140kW,4kW,113kW,16kW,0kW,,161kW,28kW,12kW,91kW,38kW,,258kW,12kW,,2kW,1kW,0kW,1kW,0kW,22kW,6kW,7kW,81kW,0kW,,0kW,402kW,67kW,25kW,0kW,26kW,0kW,,138kW,22kW,,3kW,,40kW,385kW,,214.68099975585938kW,1kW,,0kW,385kW,10kW,18kW,53kW,10kW,46kW,116kW,0kW,,31kW,3kW,8343.994416415691kW,0kW,110kW,14kW,,1kW,6kW,3kW,702kW,,,0kW,19kW,15kW,123kW,7kW,166kW,0kW,66kW,3kW
2016-09-01T03:00:00+10:00 Sydney,116kW,19kW,33kW,,161kW,149kW,16kW,6kW,20kW,2kW,181kW,4kW,2kW,,5kW,0kW,267kW,3kW,2kW,1kW,18kW,91kW,9kW,20kW,17kW,,41kW,4kW,0kW,,,,25kW,0kW,10kW,10kW,2kW,40kW,,17kW,175kW,145kW,28kW,0kW,169kW,0kW,,2kW,81kW,24kW,60kW,2042.138198852539kW,,33kW,94kW,0kW,23kW,6kW,9kW,35kW,3kW,35kW,35kW,38kW,11kW,11kW,95kW,114kW,1.6405096054077148kW,3kW,1kW,0kW,86kW,,,24kW,132kW,4kW,115kW,12kW,0kW,,160kW,28kW,15kW,89kW,39kW,,258kW,11kW,,2kW,1kW,0kW,1kW,0kW,22kW,6kW,7kW,52kW,0kW,,0kW,413kW,66kW,25kW,0kW,23kW,0kW,,132kW,21kW,,7kW,,40kW,379kW,,218.61599731445312kW,1kW,,0kW,381kW,6kW,16kW,55kW,11kW,45kW,116kW,0kW,,30kW,3kW,8296.885388195515kW,0kW,109kW,17kW,,2kW,3kW,3kW,701kW,,,0kW,19kW,15kW,118kW,12kW,159kW,0kW,58kW,4kW
2016-09-01T04:00:00+10:00 Sydney,102kW,19kW,40kW,,151kW,150kW,13kW,6kW,49kW,8kW,175kW,7kW,1kW,,12kW,0kW,299kW,5kW,2kW,5kW,20kW,95kW,1kW,54kW,32kW,,28kW,4kW,0kW,,,,32kW,0kW,10kW,10kW,3kW,41kW,,15kW,175kW,150kW,28kW,0kW,173kW,0kW,,2kW,90kW,23kW,50kW,2117.434799194336kW,,36kW,94kW,0kW,42kW,16kW,6kW,34kW,5kW,36kW,41kW,35kW,10kW,15kW,92kW,118kW,1.6433500051498413kW,2kW,1kW,0kW,98kW,,,22kW,142kW,16kW,113kW,13kW,0kW,,158kW,28kW,34kW,99kW,47kW,,258kW,9kW,,2kW,1kW,0kW,1kW,0kW,26kW,1kW,10kW,54kW,0kW,,0kW,385kW,96kW,30kW,0kW,22kW,0kW,,134kW,20kW,,3kW,,36kW,386kW,,212.6771011352539kW,1kW,,0kW,381kW,9kW,20kW,59kW,16kW,52kW,116kW,0kW,,97kW,3kW,8628.252377212048kW,0kW,111kW,17kW,,4kW,4kW,3kW,705kW,,,0kW,19kW,18kW,128kW,12kW,176kW,1kW,65kW,11kW
2016-09-01T05:00:00+10:00 Sydney,98kW,17kW,34kW,,178kW,148kW,16kW,12kW,49kW,7kW,175kW,7kW,2kW,,5kW,0kW,285kW,3kW,3kW,4kW,28kW,134kW,1kW,64kW,30kW,,32kW,9kW,0kW,,,,35kW,0kW,13kW,13kW,2kW,42kW,,18kW,171kW,141kW,33kW,0kW,170kW,0kW,,3kW,79kW,25kW,59kW,2073.084503173828kW,,36kW,102kW,0kW,50kW,19kW,8kW,36kW,1kW,56kW,40kW,36kW,10kW,15kW,92kW,116kW,1.7186424732208252kW,4kW,1kW,0kW,92kW,,,17kW,146kW,16kW,120kW,18kW,0kW,,160kW,33kW,34kW,106kW,51kW,,258kW,15kW,,5kW,1kW,4kW,1kW,0kW,22kW,1kW,7kW,85kW,2kW,,0kW,395kW,137kW,35kW,0kW,21kW,0kW,,134kW,21kW,,4kW,,41kW,379kW,,207.03169631958008kW,1kW,,0kW,381kW,8kW,17kW,57kW,16kW,54kW,115kW,0kW,,105kW,3kW,8823.042420983315kW,0kW,119kW,17kW,,1kW,3kW,30kW,713kW,,,0kW,19kW,19kW,137kW,7kW,176kW,6kW,67kW,5kW
2016-09-01T06:00:00+10:00 Sydney,191kW,40kW,35kW,,163kW,153kW,16kW,12kW,53kW,4kW,188kW,3kW,7kW,,9kW,0kW,289kW,3kW,3kW,4kW,28kW,157kW,1kW,145kW,41kW,,32kW,9kW,0kW,,,,41kW,0kW,17kW,17kW,3kW,51kW,,19kW,182kW,164kW,51kW,0kW,174kW,0kW,,26kW,87kW,25kW,42kW,2072.8161010742188kW,,34kW,92kW,0kW,51kW,18kW,83kW,40kW,1kW,45kW,123kW,35kW,12kW,11kW,130kW,106kW,1.6983760595321655kW,14kW,18kW,0kW,146kW,,,25kW,148kW,51kW,127kW,25kW,0kW,,259kW,51kW,25kW,116kW,63kW,,258kW,12kW,,2kW,1kW,0kW,11kW,0kW,22kW,0kW,7kW,93kW,0kW,,0kW,395kW,133kW,38kW,0kW,22kW,0kW,,132kW,24kW,,5kW,,46kW,386kW,,201.16539764404297kW,1kW,,0kW,322kW,16kW,20kW,55kW,16kW,63kW,116kW,0kW,,146kW,3kW,9577.825649611652kW,10422.170959472656kW,121kW,45kW,,2kW,25kW,30kW,728kW,,,4kW,18kW,22kW,137kW,7kW,184kW,0kW,85kW,8kW
2016-09-01T07:00:00+10:00 Sydney,192kW,41kW,35kW,,171kW,148kW,23kW,8kW,83kW,4kW,127kW,4kW,9kW,,8kW,0kW,301kW,5kW,10kW,2kW,15kW,252kW,1kW,141kW,56kW,,84kW,4kW,0kW,,,,41kW,0kW,32kW,32kW,3kW,85kW,,25kW,176kW,220kW,89kW,0kW,190kW,0kW,,16kW,78kW,25kW,66kW,2086.438507080078kW,,42kW,93kW,0kW,50kW,16kW,44kW,40kW,5kW,37kW,120kW,35kW,11kW,21kW,130kW,118kW,0.1195756196975708kW,12kW,18kW,0kW,126kW,,,25kW,194kW,51kW,150kW,77kW,0kW,,265kW,89kW,27kW,116kW,63kW,,258kW,25kW,,2kW,1kW,0kW,12kW,0kW,22kW,5kW,14kW,143kW,0kW,,0kW,400kW,133kW,37kW,0kW,30kW,0kW,,125kW,25kW,,6kW,,66kW,398kW,,117.04590225219727kW,15kW,,4kW,328kW,16kW,25kW,67kW,19kW,97kW,120kW,1kW,,138kW,2kW,10087.811209281906kW,11246.60986328125kW,132kW,55kW,,4kW,26kW,22kW,739kW,,,8kW,15kW,36kW,134kW,14kW,198kW,1kW,92kW,8kW
2016-09-01T08:00:00+10:00 Sydney,204kW,54kW,51kW,,164kW,172kW,19kW,8kW,84kW,15kW,44kW,5kW,6kW,,16kW,0kW,352kW,8kW,14kW,2kW,15kW,276kW,4kW,141kW,92kW,,57kW,8kW,4kW,,,,46kW,0kW,38kW,38kW,2kW,143kW,,23kW,164kW,264kW,72kW,0kW,161kW,0kW,,22kW,84kW,26kW,51kW,2210.8318939208984kW,,56kW,115kW,0kW,55kW,16kW,48kW,44kW,5kW,44kW,97kW,32kW,13kW,18kW,139kW,134kW,0.06158823519945145kW,9kW,18kW,0kW,168kW,,,45kW,218kW,45kW,162kW,46kW,0kW,,276kW,72kW,44kW,118kW,80kW,,258kW,15kW,,4kW,1kW,0kW,16kW,0kW,23kW,12kW,12kW,128kW,0kW,,0kW,425kW,129kW,55kW,0kW,39kW,0kW,,139kW,33kW,,6kW,,74kW,415kW,,103.36390113830566kW,15kW,,7kW,388kW,14kW,28kW,74kW,17kW,100kW,131kW,0kW,,142kW,2kW,10760.786208096892kW,11916.110107421875kW,140kW,55kW,,6kW,20kW,22kW,787kW,,,11kW,16kW,40kW,126kW,14kW,217kW,6kW,97kW,18kW
2016-09-01T09:00:00+10:00 Sydney,191kW,54kW,52kW,,158kW,167kW,14kW,8kW,93kW,14kW,50kW,5kW,6kW,,26kW,0kW,408kW,6kW,15kW,2kW,15kW,303kW,5kW,153kW,92kW,,62kW,8kW,4kW,,,,65kW,0kW,35kW,35kW,1kW,155kW,,17kW,156kW,230kW,72kW,0kW,145kW,0kW,,22kW,88kW,28kW,59kW,2180.1528930664062kW,,76kW,94kW,0kW,57kW,13kW,43kW,46kW,6kW,64kW,91kW,28kW,6kW,16kW,153kW,145kW,0.06022060662508011kW,9kW,3kW,0kW,154kW,,,72kW,231kW,24kW,167kW,41kW,0kW,,308kW,72kW,47kW,125kW,80kW,,258kW,19kW,,4kW,1kW,0kW,10kW,0kW,28kW,6kW,14kW,161kW,0kW,,0kW,461kW,146kW,51kW,0kW,48kW,0kW,,151kW,36kW,,11kW,,71kW,414kW,,102.04869842529297kW,16kW,,2kW,405kW,17kW,30kW,82kW,21kW,111kW,138kW,0kW,,160kW,4kW,11356.203607397154kW,12551.649169921875kW,153kW,65kW,,10kW,15kW,22kW,862kW,,,8kW,16kW,47kW,155kW,12kW,239kW,5kW,123kW,22kW
