Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B1A B1A V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-07T00:00:00+11:00 Sydney,10kW,16kW,23kW,,113kW,123kW,7kW,6kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,250kW,1kW,2kW,1kW,17kW,84kW,0kW,33kW,16kW,,37kW,8kW,0kW,0kW,,,13kW,1kW,9kW,9kW,1kW,34kW,,15kW,42kW,100kW,16kW,0kW,38kW,0kW,,2kW,54kW,2kW,25kW,2154.935501098633kW,,28kW,0kW,0kW,14kW,6kW,0kW,0kW,1kW,23kW,24kW,32kW,5kW,2kW,125kW,77kW,0.05772050470113754kW,0kW,1kW,0kW,48kW,,,27kW,0kW,0kW,74kW,8kW,0kW,,243kW,14kW,104kW,26kW,,,354kW,11kW,,0kW,1kW,0kW,1kW,54kW,8kW,6kW,8kW,40kW,0kW,,0kW,352.03181818181815kW,37kW,32.99803278688525kW,40kW,17kW,0kW,,0kW,15kW,,1kW,,0kW,372kW,,402.68479919433594kW,2kW,,0kW,302kW,1kW,18kW,18kW,9kW,30kW,109kW,0kW,,37kW,3kW,6920.150584765865kW,8285.994541168213kW,118kW,9kW,,1kW,0kW,4kW,575kW,,,0kW,18kW,9kW,78kW,3kW,357kW,0kW,39kW,0kW
2016-02-07T01:00:00+11:00 Sydney,10kW,13kW,23kW,,114kW,122kW,6kW,7kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,243kW,0kW,2kW,1kW,18kW,84kW,0kW,35kW,19kW,,45kW,7kW,0kW,0kW,,,14kW,1kW,4kW,4kW,1kW,35kW,,12kW,37kW,83kW,16kW,0kW,36kW,0kW,,1kW,64kW,2kW,20kW,2322.451202392578kW,,28kW,0kW,0kW,13kW,4kW,0kW,0kW,1kW,20kW,26kW,33kW,0kW,2kW,65kW,76kW,0.05921774357557297kW,0kW,1kW,0kW,46kW,,,23kW,0kW,0kW,75kW,8kW,0kW,,257kW,18kW,103kW,24kW,,,320kW,5kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,4kW,40kW,0kW,,0kW,361kW,39kW,30kW,48kW,18kW,0kW,,0kW,16kW,,1kW,,0kW,358kW,,418.8208999633789kW,2kW,,0kW,261kW,5kW,19kW,18kW,9kW,34kW,113kW,0kW,,33kW,3kW,6912.878532845744kW,8271.02042388916kW,118kW,9kW,,1kW,0kW,4kW,555kW,,,0kW,18kW,13kW,75kW,3kW,339kW,0kW,37kW,0kW
2016-02-07T02:00:00+11:00 Sydney,10kW,13kW,22kW,,110kW,125kW,5kW,6kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,244kW,1kW,2kW,1kW,17kW,87kW,0kW,31kW,14kW,,37kW,3kW,0kW,0kW,,,13kW,1kW,4kW,4kW,1kW,30kW,,8kW,33kW,78kW,16kW,0kW,33kW,0kW,,1kW,57kW,1kW,25kW,2159.2989959716797kW,,25kW,0kW,0kW,13kW,4kW,0kW,0kW,1kW,20kW,23kW,31kW,2kW,3kW,67kW,79kW,0.05494767054915428kW,0kW,1kW,0kW,46kW,,,21kW,0kW,0kW,76kW,8kW,0kW,,239kW,14kW,100kW,24kW,,,364kW,7kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,4kW,43kW,0kW,,0kW,335kW,38kW,34kW,63kW,17kW,0kW,,0kW,14kW,,1kW,,0kW,374kW,,379.87170600891113kW,2kW,,0kW,260kW,1kW,14kW,23kW,9kW,30kW,109kW,0kW,,32kW,2kW,6660.654276279733kW,8037.295936584473kW,118kW,9kW,,1kW,0kW,4kW,532kW,,,0kW,18kW,9kW,79kW,3kW,319kW,0kW,41kW,0kW
2016-02-07T03:00:00+11:00 Sydney,10kW,12kW,22kW,,89kW,126kW,5kW,11kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,249kW,1kW,2kW,1kW,18kW,90kW,0kW,35kW,20kW,,37kW,7kW,0kW,0kW,,,13kW,1kW,8kW,8kW,3kW,32kW,,7kW,27kW,74kW,19kW,0kW,32kW,0kW,,1kW,51kW,2kW,19kW,2108.76220703125kW,,25kW,0kW,0kW,13kW,4kW,0kW,0kW,1kW,25kW,28kW,23kW,0kW,2kW,63kW,74kW,0.05851561576128006kW,0kW,1kW,0kW,46kW,,,15kW,0kW,0kW,77kW,8kW,0kW,,241kW,14kW,100kW,28kW,,,378kW,7kW,,1kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,41kW,0kW,,0kW,346kW,35kW,32kW,63kW,18kW,0kW,,0kW,14kW,,1kW,,0kW,372kW,,342.0670909881592kW,2kW,,0kW,266kW,1kW,17kW,19kW,10kW,30kW,103kW,0kW,,38kW,3kW,6610.215260539204kW,7825.4367599487305kW,114kW,9kW,,1kW,0kW,5kW,537kW,,,0kW,18kW,9kW,70kW,3kW,313kW,0kW,37kW,0kW
2016-02-07T04:00:00+11:00 Sydney,10kW,11kW,23kW,,115kW,122kW,5kW,6kW,0kW,0kW,18kW,5kW,1kW,,2kW,0kW,251kW,0kW,2kW,1kW,18kW,85kW,0kW,34kW,23kW,,27kW,3kW,0kW,0kW,,,14kW,1kW,4kW,4kW,1kW,34kW,,9kW,28kW,63kW,16kW,0kW,28kW,0kW,,1kW,59kW,2kW,19kW,2146.7879943847656kW,,25kW,0kW,0kW,17kW,4kW,0kW,0kW,1kW,26kW,25kW,25kW,1kW,2kW,71kW,75kW,0.05902837961912155kW,0kW,1kW,0kW,44kW,,,17kW,0kW,0kW,69kW,8kW,0kW,,218kW,14kW,72kW,24kW,,,371kW,5kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,42kW,0kW,,0kW,335kW,39kW,28kW,62kW,16kW,0kW,,0kW,15kW,,1kW,,0kW,347kW,,362.84069633483887kW,2kW,,0kW,298kW,6kW,14kW,18kW,13kW,34kW,97kW,0kW,,37kW,2kW,6619.095422621816kW,7962.976161956787kW,114kW,9kW,,1kW,0kW,4kW,556kW,,,0kW,18kW,9kW,77kW,3kW,341kW,0kW,33kW,0kW
2016-02-07T05:00:00+11:00 Sydney,10kW,11kW,26kW,,143kW,123kW,6kW,10kW,0kW,0kW,14kW,1kW,1kW,,3kW,0kW,241kW,1kW,2kW,1kW,27kW,90kW,0kW,33kW,19kW,,34kW,7kW,0kW,0kW,,,13kW,4kW,6kW,6kW,1kW,34kW,,6kW,28kW,75kW,16kW,0kW,28kW,0kW,,2kW,60kW,2kW,20kW,2160.8410034179688kW,,25kW,0kW,0kW,13kW,5kW,0kW,0kW,3kW,29kW,25kW,25kW,0kW,2kW,66kW,80kW,0.05877789855003357kW,0kW,1kW,0kW,44kW,,,15kW,0kW,0kW,73kW,8kW,0kW,,215kW,14kW,69kW,27kW,,,367kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,41kW,0kW,,0kW,319kW,38kW,32kW,43kW,16kW,0kW,,0kW,15kW,,1kW,,0kW,351kW,,351.31840324401855kW,2kW,,4kW,247kW,1kW,13kW,22kW,13kW,32kW,98kW,0kW,,36kW,3kW,6621.046293780208kW,7967.905975341797kW,118kW,9kW,,1kW,0kW,4kW,535kW,,,0kW,18kW,9kW,76kW,3kW,326kW,0kW,34kW,0kW
2016-02-07T06:00:00+11:00 Sydney,10kW,11kW,27kW,,141kW,122kW,5kW,6kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,244kW,0kW,2kW,1kW,27kW,83kW,0kW,32kW,24kW,,36kW,3kW,0kW,0kW,,,13kW,1kW,5kW,5kW,1kW,30kW,,8kW,28kW,69kW,17kW,0kW,26kW,0kW,,2kW,56kW,2kW,42kW,2143.4434967041016kW,,25kW,0kW,0kW,14kW,5kW,0kW,0kW,1kW,25kW,31kW,22kW,1kW,6kW,62kW,73kW,0.058966197073459625kW,0kW,1kW,0kW,46kW,,,14kW,0kW,0kW,73kW,8kW,0kW,,223kW,19kW,102kW,28kW,,,393kW,6kW,,1kW,1kW,0kW,1kW,59kW,8kW,0kW,4kW,41kW,0kW,,0kW,351kW,40kW,32kW,45kW,17kW,0kW,,0kW,14kW,,1kW,,0kW,365kW,,345.44559478759766kW,2kW,,0kW,305kW,6kW,15kW,18kW,14kW,31kW,102kW,0kW,,37kW,3kW,6793.225978154689kW,7837.369674682617kW,114kW,13kW,,1kW,0kW,4kW,557kW,,,0kW,18kW,9kW,81kW,3kW,342kW,0kW,36kW,0kW
2016-02-07T07:00:00+11:00 Sydney,10kW,11kW,24kW,,110kW,123kW,8kW,6kW,0kW,0kW,14kW,3kW,1kW,,2kW,0kW,259kW,0kW,2kW,1kW,13kW,100kW,0kW,44kW,19kW,,37kW,7kW,0kW,0kW,,,11kW,1kW,5kW,5kW,0kW,28kW,,9kW,26kW,80kW,16kW,0kW,30kW,0kW,,1kW,51kW,1kW,9kW,2121.4911041259766kW,,28kW,0kW,0kW,12kW,4kW,0kW,0kW,1kW,20kW,23kW,57kW,1kW,2kW,65kW,65kW,0.059864889830350876kW,0kW,1kW,0kW,48kW,,,15kW,0kW,0kW,80kW,5kW,0kW,,211kW,16kW,84kW,25kW,,,430kW,6kW,,0kW,1kW,0kW,1kW,53kW,8kW,0kW,4kW,41kW,0kW,,0kW,319kW,37kW,21kW,43kW,22kW,0kW,,0kW,17kW,,1kW,,0kW,356kW,,148.96710395812988kW,1kW,,0kW,246kW,9kW,17kW,17kW,12kW,34kW,96kW,0kW,,36kW,2kW,6546.956331403926kW,7729.717445373535kW,116kW,10kW,,0kW,0kW,4kW,555kW,,,0kW,14kW,9kW,77kW,3kW,339kW,0kW,40kW,0kW
2016-02-07T08:00:00+11:00 Sydney,10kW,13kW,23kW,,110kW,127kW,5kW,5kW,0kW,0kW,14kW,2kW,1kW,,2kW,0kW,239kW,4kW,2kW,1kW,13kW,95kW,0kW,52kW,46kW,,40kW,7kW,0kW,0kW,,,11kW,0kW,11kW,11kW,0kW,149kW,,16kW,25kW,94kW,16kW,0kW,34kW,0kW,,1kW,51kW,1kW,18kW,2202.171600341797kW,,24kW,0kW,0kW,12kW,0kW,0kW,0kW,1kW,22kW,28kW,59kW,1kW,2kW,62kW,64kW,0.05787302553653717kW,0kW,1kW,0kW,48kW,,,18kW,0kW,0kW,69kW,5kW,0kW,,236kW,16kW,70kW,30kW,,,490kW,11kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,4kW,38kW,0kW,,0kW,328kW,26kW,17kW,42kW,20kW,0kW,,0kW,13kW,,1kW,,0kW,379kW,,89.40660095214844kW,2kW,,0kW,294kW,1kW,15kW,18kW,12kW,31kW,96kW,0kW,,33kW,2kW,6850.706537373364kW,8102.854469299316kW,114kW,28kW,,1kW,0kW,3kW,537kW,,,0kW,14kW,9kW,80kW,3kW,338kW,0kW,46kW,0kW
