Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B1A B1A V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-07T00:00:00+11:00 Sydney,10kW,16kW,23kW,,113kW,123kW,7kW,6kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,250kW,1kW,2kW,1kW,17kW,84kW,0kW,33kW,16kW,,37kW,8kW,0kW,0kW,,,13kW,1kW,9kW,9kW,1kW,34kW,,15kW,42kW,100kW,16kW,0kW,38kW,0kW,,2kW,54kW,2kW,25kW,2154.935501098633kW,,28kW,0kW,0kW,14kW,6kW,0kW,0kW,1kW,23kW,24kW,32kW,5kW,2kW,125kW,77kW,0.05772050470113754kW,0kW,1kW,0kW,48kW,,,27kW,0kW,0kW,74kW,8kW,0kW,,243kW,14kW,104kW,26kW,,,354kW,11kW,,0kW,1kW,0kW,1kW,54kW,8kW,6kW,8kW,40kW,0kW,,0kW,352.03181818181815kW,37kW,32.99803278688525kW,40kW,17kW,0kW,,0kW,15kW,,1kW,,0kW,372kW,,402.68479919433594kW,2kW,,0kW,302kW,1kW,18kW,18kW,9kW,30kW,109kW,0kW,,37kW,3kW,6920.150584765865kW,8285.994541168213kW,118kW,9kW,,1kW,0kW,4kW,575kW,,,0kW,18kW,9kW,78kW,3kW,357kW,0kW,39kW,0kW
2016-02-07T00:10:00+11:00 Sydney,10kW,15kW,27kW,,117kW,123kW,7kW,6kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,250kW,1kW,2kW,1kW,18kW,88kW,0kW,31kW,14kW,,37kW,3kW,0kW,0kW,,,13kW,1kW,9kW,9kW,1kW,34kW,,15kW,42kW,99kW,16kW,0kW,38kW,0kW,,1kW,65kW,2kW,19kW,2220.7872009277344kW,,27kW,0kW,0kW,14kW,6kW,0kW,0kW,1kW,24kW,29kW,32kW,5kW,2kW,123kW,74kW,0.05809065327048302kW,0kW,1kW,0kW,48kW,,,27kW,0kW,0kW,76kW,8kW,0kW,,243kW,14kW,97kW,28kW,,,370kW,11kW,,0kW,1kW,0kW,1kW,54kW,8kW,6kW,4kW,40kW,0kW,,0kW,358kW,40kW,36kW,41kW,17kW,0kW,,0kW,16kW,,1kW,,0kW,364kW,,423.45729064941406kW,2kW,,0kW,252kW,2kW,18kW,18kW,9kW,30kW,109.00327868852459kW,0kW,,37kW,3kW,6932.485241104688kW,8211.965911865234kW,118kW,11kW,,1kW,0kW,4kW,569kW,,,0kW,18kW,9kW,75kW,3kW,343kW,0kW,39kW,0kW
2016-02-07T00:20:00+11:00 Sydney,10kW,14kW,27kW,,117kW,123kW,6kW,6kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,232kW,1kW,2kW,1kW,18kW,88kW,0kW,34kW,15kW,,34kW,3kW,0kW,0kW,,,13kW,1kW,4kW,4kW,1kW,35kW,,12kW,36kW,95kW,16kW,0kW,35kW,0kW,,1kW,54kW,2kW,19kW,2176.0886993408203kW,,28kW,0kW,0kW,14kW,4kW,0kW,0kW,1kW,26kW,29kW,32kW,4kW,2kW,83kW,72kW,0.05809065327048302kW,0kW,1kW,0kW,54kW,,,26kW,0kW,0kW,76kW,8kW,0kW,,242kW,14kW,108kW,29kW,,,376kW,5kW,,1kW,1kW,0kW,1kW,54kW,7kW,0kW,4kW,41kW,0kW,,0kW,356.9893238434164kW,36kW,36kW,47kW,17kW,0kW,,0kW,16kW,,1kW,,0kW,371.00354609929076kW,,427.45729064941406kW,2kW,,0kW,261kW,2kW,17kW,22kW,9kW,30kW,114kW,0kW,,38kW,3kW,6887.66796134809kW,8202.01262664795kW,118kW,13kW,,1kW,0kW,4kW,565kW,,,0kW,18kW,9kW,73kW,3kW,342kW,0kW,44kW,0kW
2016-02-07T00:30:00+11:00 Sydney,10kW,14kW,22kW,,147kW,123kW,7kW,6kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,246kW,0kW,2kW,1kW,18kW,85kW,0kW,34kW,18kW,,37kW,7kW,0kW,0kW,,,12kW,1kW,4kW,4kW,1kW,35kW,,18kW,44kW,95kW,16kW,0kW,37kW,0kW,,1kW,61kW,2kW,19kW,2341.950897216797kW,,29kW,0kW,0kW,14kW,4kW,0kW,0kW,1kW,26kW,26kW,29kW,4kW,2kW,81kW,70kW,0.05750470235943794kW,0kW,1kW,0kW,56kW,,,26kW,0kW,0kW,76kW,8kW,0kW,,244kW,14kW,108kW,29kW,,,356kW,7kW,,1kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,41kW,0kW,,0kW,337kW,37kW,30kW,47kW,18kW,0kW,,0kW,16kW,,1kW,,0kW,359kW,,426.6652088165283kW,2kW,,0kW,311kW,1kW,20kW,22kW,9kW,30kW,114kW,0kW,,38kW,3kW,7043.2813601970165kW,8202.014358520508kW,118kW,13kW,,1kW,0kW,4kW,553kW,,,0kW,18kW,9kW,82kW,3kW,352kW,0kW,38kW,0kW
2016-02-07T00:40:00+11:00 Sydney,10kW,14kW,23kW,,149kW,126kW,7kW,6kW,0kW,0kW,12kW,1kW,1kW,,2kW,0kW,252kW,0kW,2kW,1kW,17kW,87kW,0kW,31kW,19kW,,37kW,7kW,0kW,0kW,,,12kW,1kW,9kW,9kW,1kW,35kW,,16kW,44kW,88kW,16kW,0kW,37kW,0kW,,2kW,63kW,5kW,23kW,2341.950897216797kW,,30kW,0kW,0kW,14kW,4kW,0kW,0kW,1kW,22kW,25kW,23kW,4kW,2kW,85kW,76kW,0.0608181431889534kW,0kW,1kW,0kW,56kW,,,19kW,0kW,0kW,76kW,11kW,0kW,,244kW,14kW,103kW,24kW,,,340kW,9kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,5kW,41kW,0kW,,0kW,335kW,37kW,32kW,47kW,18kW,0kW,,0kW,16kW,,1kW,,0kW,357kW,,426.6974983215332kW,2kW,,0kW,311kW,1kW,20kW,18kW,9kW,30kW,108kW,0kW,,37kW,3kW,7007.79627130174kW,8202.695350646973kW,118kW,10kW,,1kW,0kW,4kW,549kW,,,0kW,18kW,9kW,82kW,3kW,352kW,0kW,38kW,0kW
2016-02-07T00:50:00+11:00 Sydney,10kW,13kW,23kW,,119kW,126kW,6kW,7kW,0kW,0kW,16kW,1kW,1kW,,2kW,0kW,242kW,0kW,2kW,1kW,18kW,84kW,0kW,32kW,19kW,,36kW,7kW,0kW,0kW,,,12kW,1kW,9kW,9kW,1kW,35kW,,12kW,40kW,88kW,16kW,0kW,36kW,0kW,,2kW,63kW,5kW,23kW,2360.4461059570312kW,,30kW,0kW,0kW,13kW,4kW,0kW,0kW,1kW,22kW,26kW,23kW,0kW,2kW,85kW,76kW,0.0608181431889534kW,0kW,1kW,0kW,48kW,,,19kW,0kW,0kW,72kW,8kW,0kW,,259kW,14kW,103kW,24kW,,,346kW,9kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,5kW,40kW,0kW,,0kW,364kW,39kW,32kW,60kW,17kW,0kW,,0kW,16kW,,1kW,,0kW,358kW,,423.8474922180176kW,2kW,,0kW,266kW,1kW,27kW,18kW,9kW,30kW,113kW,0kW,,37kW,3kW,6927.529960937626kW,8241.945129394531kW,120kW,9kW,,1kW,0kW,4kW,571kW,,,0kW,18kW,13kW,78kW,3kW,330kW,0kW,37kW,0kW
2016-02-07T01:00:00+11:00 Sydney,10kW,13kW,23kW,,114kW,122kW,6kW,7kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,243kW,0kW,2kW,1kW,18kW,84kW,0kW,35kW,19kW,,45kW,7kW,0kW,0kW,,,14kW,1kW,4kW,4kW,1kW,35kW,,12kW,37kW,83kW,16kW,0kW,36kW,0kW,,1kW,64kW,2kW,20kW,2322.451202392578kW,,28kW,0kW,0kW,13kW,4kW,0kW,0kW,1kW,20kW,26kW,33kW,0kW,2kW,65kW,76kW,0.05921774357557297kW,0kW,1kW,0kW,46kW,,,23kW,0kW,0kW,75kW,8kW,0kW,,257kW,18kW,103kW,24kW,,,320kW,5kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,4kW,40kW,0kW,,0kW,361kW,39kW,30kW,48kW,18kW,0kW,,0kW,16kW,,1kW,,0kW,358kW,,418.8208999633789kW,2kW,,0kW,261kW,5kW,19kW,18kW,9kW,34kW,113kW,0kW,,33kW,3kW,6912.878532845744kW,8271.02042388916kW,118kW,9kW,,1kW,0kW,4kW,555kW,,,0kW,18kW,13kW,75kW,3kW,339kW,0kW,37kW,0kW
2016-02-07T01:10:00+11:00 Sydney,10kW,13kW,23kW,,115kW,126kW,6kW,6kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,247kW,0kW,2kW,1kW,20kW,84kW,0kW,35kW,19kW,,45kW,7kW,0kW,0kW,,,14kW,1kW,4kW,4kW,1kW,35kW,,12kW,36kW,94kW,16kW,0kW,35kW,0kW,,1kW,64kW,2kW,20kW,2322.451202392578kW,,28kW,0kW,0kW,14kW,4kW,0kW,0kW,1kW,29kW,23kW,33kW,1kW,2kW,65kW,76kW,0.05767229571938515kW,0kW,1kW,0kW,50kW,,,23kW,0kW,0kW,77kW,8kW,0kW,,257kW,18kW,98kW,26kW,,,320kW,7kW,,0kW,1kW,0kW,1kW,57kW,8kW,0kW,4kW,40kW,0kW,,0kW,340kW,43kW,26kW,48kW,18kW,0kW,,0kW,16kW,,1kW,,0kW,366kW,,418.8208999633789kW,2kW,,0kW,261kW,5kW,19kW,19kW,9kW,34kW,109kW,0kW,,37kW,2kW,6849.817388414093kW,8212.313186645508kW,118kW,13kW,,1kW,0kW,4kW,540kW,,,0kW,18kW,13kW,86kW,3kW,339kW,0kW,38kW,0kW
2016-02-07T01:20:00+11:00 Sydney,10kW,13kW,22kW,,133kW,126kW,5kW,10kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,241kW,0kW,2kW,1kW,20kW,82kW,0kW,35kW,14kW,,37kW,7kW,0kW,0kW,,,12kW,1kW,8kW,8kW,1kW,33kW,,12kW,38kW,90kW,17kW,0kW,35kW,0kW,,1kW,63kW,2kW,19kW,2334.886001586914kW,,27kW,0kW,0kW,14kW,4kW,0kW,0kW,1kW,24kW,23kW,28kW,0kW,2kW,65kW,76kW,0.054254066199064255kW,0kW,1kW,0kW,48kW,,,20kW,0kW,0kW,77kW,8kW,0kW,,243kW,14kW,95kW,26kW,,,353kW,11kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,40kW,0kW,,0kW,312kW,43kW,35kW,60kW,17kW,0kW,,0kW,16kW,,1kW,,0kW,373kW,,406.8439025878906kW,2kW,,0kW,300kW,5kW,17kW,19kW,9kW,30kW,104kW,0kW,,37kW,3kW,6886.852230792865kW,8227.503604888916kW,118kW,13kW,,1kW,0kW,4kW,536kW,,,0kW,18kW,9kW,86kW,3kW,325kW,0kW,38kW,0kW
