time,r-pv(time dependent radiation parameter)
2016-01-07T00:00:00+11:00 Sydney,0
2016-01-07T01:00:00+11:00 Sydney,0
2016-01-07T02:00:00+11:00 Sydney,0
2016-01-07T03:00:00+11:00 Sydney,0
2016-01-07T04:00:00+11:00 Sydney,0
2016-01-07T05:00:00+11:00 Sydney,0.035978836
2016-01-07T06:00:00+11:00 Sydney,0.1735449735
2016-01-07T07:00:00+11:00 Sydney,0.3703703704
2016-01-07T08:00:00+11:00 Sydney,0.5798941799
2016-01-07T09:00:00+11:00 Sydney,0.7735449735
2016-01-07T10:00:00+11:00 Sydney,0.9121693122
2016-01-07T11:00:00+11:00 Sydney,1
2016-01-07T12:00:00+11:00 Sydney,0.9873015873
2016-01-07T13:00:00+11:00 Sydney,0.8888888889
2016-01-07T14:00:00+11:00 Sydney,0.7079365079
2016-01-07T15:00:00+11:00 Sydney,0.4920634921
2016-01-07T16:00:00+11:00 Sydney,0.2677248677
2016-01-07T17:00:00+11:00 Sydney,0.0698412698
2016-01-07T18:00:00+11:00 Sydney,0.0084656085
2016-01-07T19:00:00+11:00 Sydney,0
2016-01-07T20:00:00+11:00 Sydney,0
2016-01-07T21:00:00+11:00 Sydney,0
2016-01-07T22:00:00+11:00 Sydney,0
2016-01-07T23:00:00+11:00 Sydney,0
