time,r-pv(time dependent radiation parameter)
2016-01-07T00:00:00+11:00 Sydney,0
2016-01-07T01:00:00+11:00 Sydney,0
2016-01-07T02:00:00+11:00 Sydney,0
2016-01-07T03:00:00+11:00 Sydney,0
2016-01-07T04:00:00+11:00 Sydney,0.0095238095
2016-01-07T05:00:00+11:00 Sydney,0.0603174603
2016-01-07T06:00:00+11:00 Sydney,0.2148148148
2016-01-07T07:00:00+11:00 Sydney,0.4116402116
2016-01-07T08:00:00+11:00 Sydney,0.6222222222
2016-01-07T09:00:00+11:00 Sydney,0.7947089947
2016-01-07T10:00:00+11:00 Sydney,0.9365079365
2016-01-07T11:00:00+11:00 Sydney,0.9989417989
2016-01-07T12:00:00+11:00 Sydney,0.9756613757
2016-01-07T13:00:00+11:00 Sydney,0.8677248677
2016-01-07T14:00:00+11:00 Sydney,0.6984126984
2016-01-07T15:00:00+11:00 Sydney,0.4835978836
2016-01-07T16:00:00+11:00 Sydney,0.2814814815
2016-01-07T17:00:00+11:00 Sydney,0.0973544974
2016-01-07T18:00:00+11:00 Sydney,0.0211640212
2016-01-07T19:00:00+11:00 Sydney,0
2016-01-07T20:00:00+11:00 Sydney,0
2016-01-07T21:00:00+11:00 Sydney,0
2016-01-07T22:00:00+11:00 Sydney,0
2016-01-07T23:00:00+11:00 Sydney,0
