time,r-pv(time dependent radiation parameter)
2016-02-07T00:00:00+11:00 Sydney,0
2016-02-07T01:00:00+11:00 Sydney,0
2016-02-07T02:00:00+11:00 Sydney,0
2016-02-07T03:00:00+11:00 Sydney,0
2016-02-07T04:00:00+11:00 Sydney,0
2016-02-07T05:00:00+11:00 Sydney,0.01
2016-02-07T06:00:00+11:00 Sydney,0.05
2016-02-07T07:00:00+11:00 Sydney,0.15
2016-02-07T08:00:00+11:00 Sydney,0.3
2016-02-07T09:00:00+11:00 Sydney,0.45
2016-02-07T10:00:00+11:00 Sydney,0.55
2016-02-07T11:00:00+11:00 Sydney,0.58
2016-02-07T12:00:00+11:00 Sydney,0.58
2016-02-07T13:00:00+11:00 Sydney,0.5
2016-02-07T14:00:00+11:00 Sydney,0.42
2016-02-07T15:00:00+11:00 Sydney,0.32
2016-02-07T16:00:00+11:00 Sydney,0.2
2016-02-07T17:00:00+11:00 Sydney,0.08
2016-02-07T18:00:00+11:00 Sydney,0.02
2016-02-07T19:00:00+11:00 Sydney,0
2016-02-07T20:00:00+11:00 Sydney,0
2016-02-07T21:00:00+11:00 Sydney,0
2016-02-07T22:00:00+11:00 Sydney,0
2016-02-07T23:00:00+11:00 Sydney,0
