time,r-pv(time dependent radiation parameter)
2016-02-07T00:00:00+11:00 Sydney,0
2016-02-07T00:10:00+11:00 Sydney,0
2016-02-07T00:20:00+11:00 Sydney,0
2016-02-07T00:30:00+11:00 Sydney,0
2016-02-07T00:40:00+11:00 Sydney,0
2016-02-07T00:50:00+11:00 Sydney,0
2016-02-07T01:00:00+11:00 Sydney,0
2016-02-07T01:10:00+11:00 Sydney,0
2016-02-07T01:20:00+11:00 Sydney,0
2016-02-07T01:30:00+11:00 Sydney,0
2016-02-07T01:40:00+11:00 Sydney,0
2016-02-07T01:50:00+11:00 Sydney,0
2016-02-07T02:00:00+11:00 Sydney,0
2016-02-07T02:10:00+11:00 Sydney,0
2016-02-07T02:20:00+11:00 Sydney,0
2016-02-07T02:30:00+11:00 Sydney,0
2016-02-07T02:40:00+11:00 Sydney,0
2016-02-07T02:50:00+11:00 Sydney,0
2016-02-07T03:00:00+11:00 Sydney,0
2016-02-07T03:10:00+11:00 Sydney,0
2016-02-07T03:20:00+11:00 Sydney,0
2016-02-07T03:30:00+11:00 Sydney,0
2016-02-07T03:40:00+11:00 Sydney,0
2016-02-07T03:50:00+11:00 Sydney,0
2016-02-07T04:00:00+11:00 Sydney,0
2016-02-07T04:10:00+11:00 Sydney,0
2016-02-07T04:20:00+11:00 Sydney,0
2016-02-07T04:30:00+11:00 Sydney,0
2016-02-07T04:40:00+11:00 Sydney,0.003
2016-02-07T04:50:00+11:00 Sydney,0.006
2016-02-07T05:00:00+11:00 Sydney,0.01
2016-02-07T05:10:00+11:00 Sydney,0.013
2016-02-07T05:20:00+11:00 Sydney,0.016
2016-02-07T05:30:00+11:00 Sydney,0.02
2016-02-07T05:40:00+11:00 Sydney,0.03
2016-02-07T05:50:00+11:00 Sydney,0.04
2016-02-07T06:00:00+11:00 Sydney,0.05
2016-02-07T06:10:00+11:00 Sydney,0.06
2016-02-07T06:20:00+11:00 Sydney,0.07
2016-02-07T06:30:00+11:00 Sydney,0.08
2016-02-07T06:40:00+11:00 Sydney,0.1
2016-02-07T06:50:00+11:00 Sydney,0.12
2016-02-07T07:00:00+11:00 Sydney,0.15
2016-02-07T07:10:00+11:00 Sydney,0.175
2016-02-07T07:20:00+11:00 Sydney,0.2
2016-02-07T07:30:00+11:00 Sydney,0.225
2016-02-07T07:40:00+11:00 Sydney,0.25
2016-02-07T07:50:00+11:00 Sydney,0.275
2016-02-07T08:00:00+11:00 Sydney,0.3
2016-02-07T08:10:00+11:00 Sydney,0.33
2016-02-07T08:20:00+11:00 Sydney,0.36
2016-02-07T08:30:00+11:00 Sydney,0.4
2016-02-07T08:40:00+11:00 Sydney,0.42
2016-02-07T08:50:00+11:00 Sydney,0.44
2016-02-07T09:00:00+11:00 Sydney,0.45
2016-02-07T09:10:00+11:00 Sydney,0.466
2016-02-07T09:20:00+11:00 Sydney,0.483
2016-02-07T09:30:00+11:00 Sydney,0.499
2016-02-07T09:40:00+11:00 Sydney,0.515
2016-02-07T09:50:00+11:00 Sydney,0.532
2016-02-07T10:00:00+11:00 Sydney,0.55
2016-02-07T10:10:00+11:00 Sydney,0.555
2016-02-07T10:20:00+11:00 Sydney,0.56
2016-02-07T10:30:00+11:00 Sydney,0.565
2016-02-07T10:40:00+11:00 Sydney,0.57
2016-02-07T10:50:00+11:00 Sydney,0.575
2016-02-07T11:00:00+11:00 Sydney,0.58
2016-02-07T11:10:00+11:00 Sydney,0.585
2016-02-07T11:20:00+11:00 Sydney,0.59
2016-02-07T11:30:00+11:00 Sydney,0.595
2016-02-07T11:40:00+11:00 Sydney,0.6
2016-02-07T11:50:00+11:00 Sydney,0.59
2016-02-07T12:00:00+11:00 Sydney,0.58
2016-02-07T12:10:00+11:00 Sydney,0.574
